,HIV,Background,CA1,CA2,CA3,CA4,CA1D,CA2D,CA3D,CA4D,CA1Dscr,CA2Dscr,CA3Dscr,CA4Dscr,Cancer
0,0,0.00043575,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0000285,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1.74167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.0000135,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1.19167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1.04167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,9.41667E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,8.66667E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,8.08333E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.00000775,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,7.66667E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,8.16667E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,9.41667E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0000115,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1.43333E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1.75833E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,2.09167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,2.44167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,3.15833E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,3.54167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00001
21,0,3.93333E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00001
22,0,4.29167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00001
23,0,4.59167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00001
24,0,0.0000485,0,0,0,0,0,0,0,0,0,0,0,0,0.00001
25,3.60E-05,0.000051,0,0,0,0,0,0,0,0,0,0,0,0,0.00002
26,3.60E-05,5.38333E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00003
27,3.60E-05,0.000057,0,0,0,0,0,0,0,0,0,0,0,0,0.00003
28,3.60E-05,0.00006075,0,0,0,0,0,0,0,0,0,0,0,0,0.00003
29,3.60E-05,6.49167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00003
30,5.83E-07,6.94167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00003
31,5.83E-07,7.39167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00005
32,5.83E-07,0.00007825,0,0,0,0,0,0,0,0,0,0,0,0,0.00007
33,5.83E-07,8.23333E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00007
34,5.83E-07,8.61667E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00007
35,8.33E-07,9.04167E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00019
36,8.33E-07,0.00009525,0,0,0,0,0,0,0,0,0,0,0,0,0.00012
37,8.33E-07,0.000100417,0,0,0,0,0,0,0,0,0,0,0,0,0.00012
38,8.33E-07,0.000105917,0,0,0,0,0,0,0,0,0,0,0,0,0.00012
39,8.33E-07,0.000112083,0,0,0,0,0,0,0,0,0,0,0,0,0.00012
40,1.08E-06,0.000119083,0,0,0,0,0,0,0,0,0,0,0,0,0.000135
41,1.08E-06,0.000127,0,0,0,0,0,0,0,0,0,0,0,0,0.00015
42,1.08E-06,0.000135833,0,0,0,0,0,0,0,0,0,0,0,0,0.00015
43,1.08E-06,0.000145667,0,0,0,0,0,0,0,0,0,0,0,0,0.00015
44,1.08E-06,0.00015675,0,0,0,0,0,0,0,0,0,0,0,0,0.00015
45,1.42E-06,0.000169083,0,0,0,0,0,0,0,0,0,0,0,0,0.00017
46,1.42E-06,0.000182917,0,0,0,0,0,0,0,0,0,0,0,0,0.00019
47,1.42E-06,0.000198833,0,0,0,0,0,0,0,0,0,0,0,0,0.00019
48,1.42E-06,0.000217083,0,0,0,0,0,0,0,0,0,0,0,0,0.00019
49,1.42E-06,0.000237583,0,0,0,0,0,0,0,0,0,0,0,0,0.00019
50,1.33E-06,0.000259833,0,0,0,0,0,0,0,0,0,0,0,0,0.000205
51,1.33E-06,0.000283583,0,0,0,0,0,0,0,0,0,0,0,0,0.00022
52,1.33E-06,0.0003095,0,0,0,0,0,0,0,0,0,0,0,0,0.00022
53,1.33E-06,0.000337667,0,0,0,0,0,0,0,0,0,0,0,0,0.00022
54,1.33E-06,0.000367917,0,0,0,0,0,0,0,0,0,0,0,0,0.00022
55,1.42E-06,0.000401083,0,0,0,0,0,0,0,0,0,0,0,0,0.000225
56,1.42E-06,0.000436083,0,0,0,0,0,0,0,0,0,0,0,0,0.00023
57,1.42E-06,0.000470583,0,0,0,0,0,0,0,0,0,0,0,0,0.00023
58,1.42E-06,0.000503583,0,0,0,0,0,0,0,0,0,0,0,0,0.00023
59,1.42E-06,0.00053675,0,0,0,0,0,0,0,0,0,0,0,0,0.00023
60,1.25E-06,0.000573833,0,0,0,0,0,0,0,0,0,0,0,0,0.00023
61,1.25E-06,0.000615917,0,0,0,0,0,0,0,0,0,0,0,0,0.00023
62,1.25E-06,0.000660917,0,0,0,0,0,0,0,0,0,0,0,0,0.00023
63,1.25E-06,0.000709,0,0,0,0,0,0,0,0,0,0,0,0,0.00023
64,1.25E-06,0.000761833,0,0,0,0,0,0,0,0,0,0,0,0,0.00023
65,1.00E-06,0.000822833,0,0,0,0,0,0,0,0,0,0,0,0,0.000235
66,1.00E-06,0.000893083,0,0,0,0,0,0,0,0,0,0,0,0,0.00024
67,1.00E-06,0.000971667,0,0,0,0,0,0,0,0,0,0,0,0,0.00024
68,1.00E-06,0.00105925,0,0,0,0,0,0,0,0,0,0,0,0,0.00024
69,1.00E-06,0.001157833,0,0,0,0,0,0,0,0,0,0,0,0,0.00024
70,6.67E-07,0.00127375,0,0,0,0,0,0,0,0,0,0,0,0,0.000245
71,6.67E-07,0.0014065,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
72,6.67E-07,0.001550583,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
73,6.67E-07,0.0017055,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
74,6.67E-07,0.001876833,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
75,5.00E-07,0.002077417,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
76,5.00E-07,0.00231075,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
77,5.00E-07,0.00257125,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
78,5.00E-07,0.002860083,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
79,5.00E-07,0.00318425,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
80,0,0.00356425,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
81,0,0.003999333,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
82,0,0.004473167,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
83,0,0.004984167,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
84,0,0.005548667,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
85,0,0.006188167,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
86,0,0.006921083,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
87,0,0.00776025,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
88,0,0.008711667,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
89,0,0.009775417,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
90,0,0.010949333,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
91,0,0.012229417,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
92,0,0.013610917,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
93,0,0.015088667,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
94,0,0.016657167,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
95,0,0.018242333,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
96,0,0.019817917,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
97,0,0.021355417,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
98,0,0.0228245,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
99,0,0.024194,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
100,0,0.025645583,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
101,0,0.027184333,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
102,0,0.028815417,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
103,0,0.030544333,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
104,0,0.032377,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
